Cities,Median_House_Price,Evolution
Lege Cap Ferret,675700,17.20
Biarritz,583700,10.10
Antibes,559000,5.20
Saint Raphael,477500,4.50
La Ciotat,427000,1.70
Hyeres,397500,12.80
La Baule Ecoublac,350000,7.90
Saint Malo,281500,14.90
Biscarrosse,278700,1.50
La Rochelle,250000,4.20
Ploemeur,250000,9.60
Royan,245000,16.70
Pornic,243000,3.20
Les Sables D'Olonne,230000,9.50
Trouville Sur Mer,224000,0.40
Canet en Roussillon,223000,3.40
Saint Pierre D'Orléon,208500,22.60
Agde,208000,11.70
Saint Hilaire De Riez,195200,6.70
Concarneau,180000,11.80
Plerin,180000,12.50
Crozon,166700,9.00
Cherbourg Octeville,150000.00,4.90
Dunkerque,140200,0.20
Dieppe,133100,4.00
Boulogne Sur Mer,120000,2.60
